Words,ans,Words_ipn,ans_ipn,Words_t1,ans_t1,Words_t2,ans_t2,Practice_01.thisRepN,Practice_01.thisTrialN,Practice_01.thisN,Practice_01.thisIndex,Practice_02.thisRepN,Practice_02.thisTrialN,Practice_02.thisN,Practice_02.thisIndex,Practice_T1.thisRepN,Practice_T1.thisTrialN,Practice_T1.thisN,Practice_T1.thisIndex,Formal_T1.thisRepN,Formal_T1.thisTrialN,Formal_T1.thisN,Formal_T1.thisIndex,Practice_iso_Reverse.thisRepN,Practice_iso_Reverse.thisTrialN,Practice_iso_Reverse.thisN,Practice_iso_Reverse.thisIndex,Practice_t2_Reverse.thisRepN,Practice_t2_Reverse.thisTrialN,Practice_t2_Reverse.thisN,Practice_t2_Reverse.thisIndex,thisRow.t,notes,Instruction01.started,Instruction_01.started,Instruction1.started,Instruction01.stopped,Instruction1.keys,Instruction1.rt,Instruction1.duration,Instruction02.started,Instruction_02.started,Instruction2.started,Instruction02.stopped,Instruction2.keys,Instruction2.rt,Instruction2.duration,Fix.started,fix.started,Fix.stopped,Practice_iso.started,text.started,key_resp_iso.started,Practice_iso.stopped,key_resp_iso.keys,key_resp_iso.corr,key_resp_iso.rt,key_resp_iso.duration,Feedback_iso_Practice.started,fb.started,Feedback_iso_Practice.stopped,fix.stopped,fb.stopped,Instruction03.started,Instruction_03.started,key_resp_3.started,Instruction03.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Practic_ipn.started,text_2.started,key_resp_ipn.started,Practic_ipn.stopped,key_resp_ipn.keys,key_resp_ipn.corr,key_resp_ipn.rt,key_resp_ipn.duration,Feedback_ipn_Practice.started,fb_3.started,fb_3.stopped,Feedback_ipn_Practice.stopped,Instruction04.started,Instruction_04.started,key_resp_4.started,Instruction04.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,Practice_t1.started,text_3.started,key_resp_t1.started,Practice_t1.stopped,key_resp_t1.keys,key_resp_t1.corr,key_resp_t1.rt,key_resp_t1.duration,Feedback_t1.started,fb_2.started,Feedback_t1.stopped,fb_2.stopped,text_3.stopped,key_resp_t1.stopped,Instruction05.started,Instruction_05.started,key_resp_5.started,Instruction05.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Instruction06.started,Instruction_06.started,key_resp_6.started,Instruction06.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,Practice_iso_reverse.started,text_4.started,key_resp_iso_reverse.started,Practice_iso_reverse.stopped,key_resp_iso_reverse.keys,key_resp_iso_reverse.corr,key_resp_iso_reverse.rt,key_resp_iso_reverse.duration,Feedback_iso_reverse.started,fb_4.started,fb_4.stopped,Feedback_iso_reverse.stopped,Instruction07.started,Instruction_07.started,key_resp_7.started,Instruction07.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,Practice_t2_reverse.started,text_5.started,key_resp_t2_reverse.started,Practice_t2_reverse.stopped,key_resp_t2_reverse.keys,key_resp_t2_reverse.corr,key_resp_t2_reverse.rt,key_resp_t2_reverse.duration,Feedback_t2_reverse.started,fb_7.started,fb_7.stopped,Feedback_t2_reverse.stopped,text_5.stopped,key_resp_t2_reverse.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
他,i,,,,,,,0,8,8,5,,,,,,,,,,,,,,,,,,,,,19.193959299940616,,,,,,,,,,,,,,,,19.19110370008275,19.193959299940616,19.687944300007075,19.687958599999547,19.69132629991509,19.69132629991509,20.057137900032103,e,0,0.3491662999149412,None,20.05739099998027,20.061679400037974,21.057535500032827,19.69132629991509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h16.40.807,IAT(test06),2024.1.4,None,2024-07-08 19h16.49.269378 +0800,
他们,i,,,,,,,0,9,9,6,,,,,,,,,,,,,,,,,,,,,21.060483600012958,,,,,,,,,,,,,,,,21.057770499959588,21.060483600012958,21.555011899909005,21.55502979992889,21.5587561998982,21.5587561998982,22.05787179991603,i,1,0.49506149999797344,None,22.05822389991954,22.064410699997097,23.058063099859282,21.5587561998982,23.062835599994287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h16.40.807,IAT(test06),2024.1.4,None,2024-07-08 19h16.49.269378 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.058124899864197,23.062835599994287,23.062835599994287,23.72445850004442,space,0.6477854000404477,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h16.40.807,IAT(test06),2024.1.4,None,2024-07-08 19h16.49.269378 +0800,
,,凶狠,i,,,,,,,,,0,0,0,32,,,,,,,,,,,,,,,,,23.741694400087,,,,,,,,,,,,,,,,23.736907399958,23.741694400087,24.226738200057298,,,,,,,,,,,,,,,,,,,,,24.22675310005434,24.244037199998274,24.244037199998274,24.672585299937055,e,0,0.42464189999736845,None,24.6731495000422,24.67711509997025,25.663394500035793,25.661317999940366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h16.40.807,IAT(test06),2024.1.4,None,2024-07-08 19h16.49.269378 +0800,
,,固执,i,,,,,,,,,0,1,1,37,,,,,,,,,,,,,,,,,25.663394500035793,,,,,,,,,,,,,,,,25.661538699874654,25.663394500035793,26.160581599920988,,,,,,,,,,,,26.182075300021097,,,,,,,,,26.160597400041297,26.182075300021097,26.182075300021097,26.39227529987693,i,1,0.19665509997867048,None,26.392538799904287,26.39738389989361,27.39364969986491,27.39105480001308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h16.40.807,IAT(test06),2024.1.4,None,2024-07-08 19h16.49.269378 +0800,
,,勇敢,e,,,,,,,,,0,2,2,7,,,,,,,,,,,,,,,,,27.39364969986491,,,,,,,,,,,,,,,,27.391283700009808,27.39364969986491,27.887065300019458,,,,,,,,,,,,27.90769620006904,,,,,,,,,27.887104199966416,27.90769620006904,27.90769620006904,28.76573109999299,i,0,0.8550539000425488,None,28.766103999922052,28.77094419999048,29.758191199973226,29.755543499952182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h16.40.807,IAT(test06),2024.1.4,None,2024-07-08 19h16.49.269378 +0800,
,,执拗,i,,,,,,,,,0,3,3,30,,,,,,,,,,,,,,,,,29.758191199973226,,,,,,,,,,,,,,,,29.755957700079307,29.758191199973226,30.257250499911606,,,,,,,,,,,,30.276528700022027,,,,,,,,,30.257267199922353,30.276528700022027,30.276528700022027,31.03042640001513,i,1,0.7515304998960346,None,31.03067240002565,31.035724699962884,,32.03443209989928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h16.40.807,IAT(test06),2024.1.4,None,2024-07-08 19h16.49.269378 +0800,
,,虚伪,i,,,,,,,,,0,4,4,21,,,,,,,,,,,,,,,,,32.03762309998274,,,,,,,,,,,,,,,,32.03479960002005,32.03762309998274,32.52501089987345,,,,,,,,,,,,32.5469732999336,,,,,,,,,32.52502779988572,32.5469732999336,32.5469732999336,33.02181349997409,i,1,0.45928089995868504,None,33.02211349993013,33.025178799871355,34.026673400076106,34.01125260000117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h16.40.807,IAT(test06),2024.1.4,None,2024-07-08 19h16.49.269378 +0800,
,,认真,e,,,,,,,,,0,5,5,10,,,,,,,,,,,,,,,,,34.026673400076106,,,,,,,,,,,,,,,,34.011575900018215,34.026673400076106,34.5243027000688,,,,,,,,,,,,,,,,,,,,,34.52431709994562,34.547759799985215,34.547759799985215,34.862023799913004,e,1,0.3127339999191463,None,34.862246999982744,34.865990800084546,35.860127199906856,35.85680290008895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h16.40.807,IAT(test06),2024.1.4,None,2024-07-08 19h16.49.269378 +0800,
,,悲观,i,,,,,,,,,0,6,6,24,,,,,,,,,,,,,,,,,35.860127199906856,,,,,,,,,,,,,,,,35.85705489991233,35.860127199906856,36.35507629998028,,,,,,,,,,,,36.3771905999165,,,,,,,,,36.35509640001692,36.3771905999165,36.3771905999165,36.9905292999465,i,1,0.603616900043562,None,36.990960699971765,36.99760770006105,37.99290019995533,37.98935199994594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h16.40.807,IAT(test06),2024.1.4,None,2024-07-08 19h16.49.269378 +0800,
,,诚恳,e,,,,,,,,,0,7,7,19,,,,,,,,,,,,,,,,,37.99290019995533,,,,,,,,,,,,,,,,37.98963569989428,37.99290019995533,38.4897670999635,,,,,,,,,,,,38.51543439994566,,,,,,,,,38.48979220003821,38.51543439994566,38.51543439994566,39.25872129993513,e,1,0.7418239000253379,None,39.25899080000818,39.26451470004395,40.25968250003643,40.25722540006973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h16.40.807,IAT(test06),2024.1.4,None,2024-07-08 19h16.49.269378 +0800,
,,自私,i,,,,,,,,,0,8,8,33,,,,,,,,,,,,,,,,,40.25968250003643,,,,,,,,,,,,,,,,40.25747670000419,40.25968250003643,40.7540663999971,,,,,,,,,,,,40.77522880001925,,,,,,,,,40.75408590002917,40.77522880001925,40.77522880001925,41.25740460003726,i,1,0.47680579987354577,None,41.25768640008755,41.26308439997956,42.26324749994092,42.248091199900955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h16.40.807,IAT(test06),2024.1.4,None,2024-07-08 19h16.49.269378 +0800,
,,冒失,i,,,,,,,,,0,9,9,29,,,,,,,,,,,,,,,,,42.26324749994092,,,,,,,,,,,,,,,,42.24833279987797,42.26324749994092,42.75572369992733,,,,,,,,,,,,42.77595039992593,,,,,,,,,42.75574139994569,42.77595039992593,42.77595039992593,43.12386759999208,i,1,0.3368834999855608,None,43.12418240006082,43.12818340002559,44.128962399903685,44.11332229990512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h16.40.807,IAT(test06),2024.1.4,None,2024-07-08 19h16.49.269378 +0800,
,,机智,e,,,,,,,,,0,10,10,9,,,,,,,,,,,,,,,,,44.128962399903685,,,,,,,,,,,,,,,,44.1135181998834,44.128962399903685,44.62013450008817,,,,,,,,,,,,44.64230669988319,,,,,,,,,44.62015439989045,44.64230669988319,44.64230669988319,44.99032579991035,i,0,0.33562720008194447,None,44.99063950008713,44.99753240006976,,45.99070480000228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h16.40.807,IAT(test06),2024.1.4,None,2024-07-08 19h16.49.269378 +0800,
,,鲁莽,i,,,,,,,,,0,11,11,28,,,,,,,,,,,,,,,,,45.99337469995953,,,,,,,,,,,,,,,,45.99095300002955,45.99337469995953,46.48779039992951,,,,,,,,,,,,46.51221899990924,,,,,,,,,46.48781429999508,46.51221899990924,46.51221899990924,46.92841699998826,e,0,0.40596280014142394,None,46.92866380000487,46.93658529990353,47.92694059992209,47.92359420005232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h16.40.807,IAT(test06),2024.1.4,None,2024-07-08 19h16.49.269378 +0800,
,,愚蠢,i,,,,,,,,,0,12,12,22,,,,,,,,,,,,,,,,,47.92694059992209,,,,,,,,,,,,,,,,47.9238505999092,47.92694059992209,48.42251780000515,,,,,,,,,,,,48.44466349994764,,,,,,,,,48.42253339989111,48.44466349994764,48.44466349994764,49.02402190002613,i,1,0.5765215000137687,None,49.024297799915075,49.03257269994356,50.022167399991304,50.01938680000603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h16.40.807,IAT(test06),2024.1.4,None,2024-07-08 19h16.49.269378 +0800,
,,消极,i,,,,,,,,,0,13,13,25,,,,,,,,,,,,,,,,,50.022167399991304,,,,,,,,,,,,,,,,50.0196469000075,50.022167399991304,50.50724649988115,,,,,,,,,,,,50.524103299947456,,,,,,,,,50.507260399870574,50.524103299947456,50.524103299947456,51.02145139989443,i,1,0.49103309982456267,None,51.021735599962994,51.02727110008709,52.024699199944735,52.02205400005914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h16.40.807,IAT(test06),2024.1.4,None,2024-07-08 19h16.49.269378 +0800,
,,乐观,e,,,,,,,,,0,14,14,4,,,,,,,,,,,,,,,,,52.024699199944735,,,,,,,,,,,,,,,,52.022448299918324,52.024699199944735,52.522821800084785,,,,,,,,,,,,,,,,,,,,,52.52283679996617,52.54355609999038,52.54355609999038,52.91369339986704,i,0,0.36513559985905886,None,52.91403210000135,52.92941890005022,,53.934790400089696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h16.40.807,IAT(test06),2024.1.4,None,2024-07-08 19h16.49.269378 +0800,
,,优秀,e,,,,,,,,,0,15,15,0,,,,,,,,,,,,,,,,,53.937618599971756,,,,,,,,,,,,,,,,53.93505729991011,53.937618599971756,54.42027770006098,,,,,,,,,,,,,,,,,,,,,54.42029460007325,54.44228619989008,54.44228619989008,54.834804699989036,e,1,0.39055969985201955,None,54.83512099995278,54.84193679993041,55.82703929999843,55.82490390003659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h16.40.807,IAT(test06),2024.1.4,None,2024-07-08 19h16.49.269378 +0800,
,,傲慢,i,,,,,,,,,0,16,16,27,,,,,,,,,,,,,,,,,55.82703929999843,,,,,,,,,,,,,,,,55.82514309999533,55.82703929999843,56.32385909999721,,,,,,,,,,,,56.34472239995375,,,,,,,,,56.32387869991362,56.34472239995375,56.34472239995375,56.70758019993082,i,1,0.36166789988055825,None,56.70784529997036,56.723625199869275,57.71308559994213,57.70720950001851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h16.40.807,IAT(test06),2024.1.4,None,2024-07-08 19h16.49.269378 +0800,
,,卑鄙,i,,,,,,,,,0,17,17,20,,,,,,,,,,,,,,,,,57.71308559994213,,,,,,,,,,,,,,,,57.70741969998926,57.71308559994213,58.19862410007045,,,,,,,,,,,,58.20869069988839,,,,,,,,,58.198644699994475,58.20869069988839,58.20869069988839,58.66960599995218,i,1,0.45883630006574094,None,58.669893600046635,58.673706699861214,59.6597718000412,59.657319699879736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h16.40.807,IAT(test06),2024.1.4,None,2024-07-08 19h16.49.269378 +0800,
,,活泼,e,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,59.6597718000412,,,,,,,,,,,,,,,,59.65755179990083,59.6597718000412,60.1548983999528,,,,,,,,,,,,60.1759951999411,,,,,,,,,60.15491480007768,60.1759951999411,60.1759951999411,60.59100109990686,i,0,0.39460489992052317,None,60.591281899949536,60.59580580005422,61.58947360003367,61.58654440008104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h16.40.807,IAT(test06),2024.1.4,None,2024-07-08 19h16.49.269378 +0800,
,,聪明,e,,,,,,,,,0,19,19,2,,,,,,,,,,,,,,,,,61.58947360003367,,,,,,,,,,,,,,,,61.58682459988631,61.58947360003367,62.078773400047794,,,,,,,,,,,,62.10429639997892,,,,,,,,,62.07879059994593,62.10429639997892,62.10429639997892,62.744809499941766,i,0,0.6363882999867201,None,62.74511000001803,62.76044539990835,63.75992950005457,63.74359830003232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h16.40.807,IAT(test06),2024.1.4,None,2024-07-08 19h16.49.269378 +0800,
,,冷静,e,,,,,,,,,0,20,20,16,,,,,,,,,,,,,,,,,63.75992950005457,,,,,,,,,,,,,,,,63.74382529989816,63.75992950005457,64.25729519990273,,,,,,,,,,,,,,,,,,,,,64.25731029990129,64.27985939988866,64.27985939988866,64.79214839986525,i,0,0.5100801000371575,None,64.7924200000707,64.79575950000435,65.79307639994659,65.79048500000499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-08_19h16.40.807,IAT(test06),2024.1.4,None,2024-07-08 19h16.49.269378 +0800,
