Words,ans,Words_ipn,ans_ipn,Words_t1,ans_t1,Words_t2,ans_t2,Practice_01.thisRepN,Practice_01.thisTrialN,Practice_01.thisN,Practice_01.thisIndex,Practice_02.thisRepN,Practice_02.thisTrialN,Practice_02.thisN,Practice_02.thisIndex,Practice_T1.thisRepN,Practice_T1.thisTrialN,Practice_T1.thisN,Practice_T1.thisIndex,Formal_T1.thisRepN,Formal_T1.thisTrialN,Formal_T1.thisN,Formal_T1.thisIndex,Practice_iso_Reverse.thisRepN,Practice_iso_Reverse.thisTrialN,Practice_iso_Reverse.thisN,Practice_iso_Reverse.thisIndex,Practice_ipn_Reverse.thisRepN,Practice_ipn_Reverse.thisTrialN,Practice_ipn_Reverse.thisN,Practice_ipn_Reverse.thisIndex,Formal_t2.thisRepN,Formal_t2.thisTrialN,Formal_t2.thisN,Formal_t2.thisIndex,thisRow.t,notes,Instruction01.started,Instruction_01.started,Instruction1.started,Instruction01.stopped,Instruction1.keys,Instruction1.rt,Instruction1.duration,Instruction02.started,Instruction_02.started,Instruction2.started,Instruction02.stopped,Instruction2.keys,Instruction2.rt,Instruction2.duration,Fix.started,fix.started,Fix.stopped,Practice_iso.started,text.started,key_resp_iso.started,Practice_iso.stopped,key_resp_iso.keys,key_resp_iso.corr,key_resp_iso.rt,key_resp_iso.duration,Feedback_iso_Practice.started,fb.started,Feedback_iso_Practice.stopped,Instruction03.started,Instruction_03.started,key_resp_3.started,Instruction03.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Practic_ipn.started,text_2.started,key_resp_ipn.started,Practic_ipn.stopped,key_resp_ipn.keys,key_resp_ipn.corr,key_resp_ipn.rt,key_resp_ipn.duration,Feedback_ipn_Practice.started,fb_3.started,Feedback_ipn_Practice.stopped,Instruction04.started,Instruction_04.started,key_resp_4.started,Instruction04.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,Practice_t1.started,text_3.started,key_resp_t1.started,Practice_t1.stopped,key_resp_t1.keys,key_resp_t1.corr,key_resp_t1.rt,key_resp_t1.duration,Feedback_t1.started,fb_2.started,Feedback_t1.stopped,Instruction05.started,Instruction_05.started,key_resp_5.started,Instruction05.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Instruction06.started,Instruction_06.started,key_resp_6.started,Instruction06.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,Practice_iso_reverse.started,text_4.started,key_resp_iso_reverse.started,Practice_iso_reverse.stopped,key_resp_iso_reverse.keys,key_resp_iso_reverse.corr,key_resp_iso_reverse.rt,key_resp_iso_reverse.duration,Feedback_iso_reverse.started,fb_4.started,Feedback_iso_reverse.stopped,Instruction07.started,Instruction_07.started,key_resp_7.started,Instruction07.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,Practice_ipn_reverse.started,text_5.started,key_resp_ipn_reverse.started,Practice_ipn_reverse.stopped,key_resp_ipn_reverse.keys,key_resp_ipn_reverse.corr,key_resp_ipn_reverse.rt,key_resp_ipn_reverse.duration,Feedback_ipn_reverse.started,fb_5.started,Feedback_ipn_reverse.stopped,Instruction08.started,Instruction_08.started,key_resp_8.started,Instruction08.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,Practice_t2.started,text_6.started,key_resp_t2.started,Practice_t2.stopped,key_resp_t2.keys,key_resp_t2.corr,key_resp_t2.rt,key_resp_t2.duration,Feedback_t2.started,fb_6.started,Feedback_t2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
他,i,,,,,,,0,8,8,5,,,,,,,,,,,,,,,,,,,,,,,,,19.10915469995234,,,,,,,,,,,,,,,,19.068953699897975,19.10915469995234,19.534636599943042,19.53469859994948,19.556553199887276,19.556553199887276,20.10186089994386,i,1,0.5336819000076503,None,20.102427699952386,20.142517399974167,21.105099799926393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_15h04.00.146,IAT(test05),2024.1.4,None,2024-07-05 15h04.23.275378 +0800,
我们,e,,,,,,,0,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,,21.15484099998139,,,,,,,,,,,,,,,,21.1056707999669,21.15484099998139,21.60287669999525,21.602897899923846,21.646002699970268,21.646002699970268,22.22030189994257,e,1,0.5553418999770656,None,22.22061019996181,22.258504599914886,23.23746089998167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_15h04.00.146,IAT(test05),2024.1.4,None,2024-07-05 15h04.23.275378 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.237558999913745,23.27928899996914,23.27928899996914,23.81073639995884,space,0.5150081000756472,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_15h04.00.146,IAT(test05),2024.1.4,None,2024-07-05 15h04.23.275378 +0800,
,,暴躁,i,,,,,,,,,0,0,0,34,,,,,,,,,,,,,,,,,,,,,23.87465099990368,,,,,,,,,,,,,,,,23.843740899930708,23.87465099990368,24.348926699953154,,,,,,,,,,,,,,,,,,,24.348946599988267,24.39385189989116,24.39385189989116,25.008455099887215,i,1,0.6030042000347748,None,25.00898469996173,25.06492489995435,26.05246019992046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_15h04.00.146,IAT(test05),2024.1.4,None,2024-07-05 15h04.23.275378 +0800,
,,固执,i,,,,,,,,,0,1,1,37,,,,,,,,,,,,,,,,,,,,,26.098086799960583,,,,,,,,,,,,,,,,26.053233899991028,26.098086799960583,26.509035199997015,,,,,,,,,,,,,,,,,,,26.509057299932465,26.55040719988756,26.55040719988756,27.37043119990267,i,1,0.7849563000490889,None,27.3709428999573,27.421599499997683,28.377984599908814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_15h04.00.146,IAT(test05),2024.1.4,None,2024-07-05 15h04.23.275378 +0800,
,,细腻,e,,,,,,,,,0,2,2,15,,,,,,,,,,,,,,,,,,,,,28.423141199979,,,,,,,,,,,,,,,,28.37871539988555,28.423141199979,28.909614999894984,,,,,,,,,,,,,,,,,,,28.909668699954636,28.952164999907836,28.952164999907836,29.51417889993172,e,1,0.5319818999851122,None,29.514724199892953,29.556475099991076,30.556328999926336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_15h04.00.146,IAT(test05),2024.1.4,None,2024-07-05 15h04.23.275378 +0800,
,,消极,i,,,,,,,,,0,3,3,25,,,,,,,,,,,,,,,,,,,,,30.595691999886185,,,,,,,,,,,,,,,,30.557021499960683,30.595691999886185,31.018215799937025,,,,,,,,,,,,,,,,,,,31.018234599963762,31.063515699934214,31.063515699934214,31.608842099900357,i,1,0.50660640001297,None,31.609300599899143,31.65256989991758,32.61081949993968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_15h04.00.146,IAT(test05),2024.1.4,None,2024-07-05 15h04.23.275378 +0800,
,,无私,e,,,,,,,,,0,4,4,12,,,,,,,,,,,,,,,,,,,,,32.6277957999846,,,,,,,,,,,,,,,,32.611919799936004,32.6277957999846,33.17130929999985,,,,,,,,,,,,,,,,,,,33.17134909995366,33.23182379989885,33.23182379989885,33.729814899968915,i,0,0.49084559991024435,None,33.73020209989045,33.77799409988802,34.75543099991046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_15h04.00.146,IAT(test05),2024.1.4,None,2024-07-05 15h04.23.275378 +0800,
,,虚伪,i,,,,,,,,,0,5,5,21,,,,,,,,,,,,,,,,,,,,,34.77620319998823,,,,,,,,,,,,,,,,34.75623469997663,34.77620319998823,35.277160199941136,,,,,,,,,,,,,,,,,,,35.277188499923795,35.3403616999276,35.3403616999276,35.86512899992522,e,0,0.5086238000076264,None,35.865840399987064,35.90674599993508,36.8793351999484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_15h04.00.146,IAT(test05),2024.1.4,None,2024-07-05 15h04.23.275378 +0800,
,,执拗,i,,,,,,,,,0,6,6,30,,,,,,,,,,,,,,,,,,,,,36.923085199901834,,,,,,,,,,,,,,,,36.87967399996705,36.923085199901834,37.36795709992293,,,,,,,,,,,,,,,,,,,37.367994499974884,37.42213119997177,37.42213119997177,38.14349969988689,i,1,0.6935110000194982,None,38.14429659990128,38.185344499885105,39.14984799991362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_15h04.00.146,IAT(test05),2024.1.4,None,2024-07-05 15h04.23.275378 +0800,
,,优秀,e,,,,,,,,,0,7,7,0,,,,,,,,,,,,,,,,,,,,,39.1638624999905,,,,,,,,,,,,,,,,39.15031909989193,39.1638624999905,39.65960469993297,,,,,,,,,,,,,,,,,,,39.659659599885345,39.705256999935955,39.705256999935955,40.253390299971215,e,1,0.5044672000221908,None,40.25404169992544,40.28790139988996,41.255647599929944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_15h04.00.146,IAT(test05),2024.1.4,None,2024-07-05 15h04.23.275378 +0800,
,,凶狠,i,,,,,,,,,0,8,8,32,,,,,,,,,,,,,,,,,,,,,41.30314379988704,,,,,,,,,,,,,,,,41.255981399910524,41.30314379988704,41.760936399921775,,,,,,,,,,,,,,,,,,,41.76096249988768,41.80721389991231,41.80721389991231,42.41689709993079,i,1,0.5889470999827608,None,42.4175244999351,42.457661999971606,43.42835699999705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_15h04.00.146,IAT(test05),2024.1.4,None,2024-07-05 15h04.23.275378 +0800,
,,冷静,e,,,,,,,,,0,9,9,16,,,,,,,,,,,,,,,,,,,,,43.46756129991263,,,,,,,,,,,,,,,,43.42875409999397,43.46756129991263,43.95624699990731,,,,,,,,,,,,,,,,,,,43.956286199972965,44.0005321999779,44.0005321999779,44.31999099999666,e,1,0.30167529999744147,None,44.32086999993771,44.38672349997796,45.34923889988568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_15h04.00.146,IAT(test05),2024.1.4,None,2024-07-05 15h04.23.275378 +0800,
,,自私,i,,,,,,,,,0,10,10,33,,,,,,,,,,,,,,,,,,,,,45.394668599939905,,,,,,,,,,,,,,,,45.3500866999384,45.394668599939905,45.830598999978974,,,,,,,,,,,,,,,,,,,45.83065899997018,45.87310189998243,45.87310189998243,46.335451799910516,i,1,0.41428600007202476,None,46.33579329994973,46.38823359995149,47.34400029992685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_15h04.00.146,IAT(test05),2024.1.4,None,2024-07-05 15h04.23.275378 +0800,
,,鲁莽,i,,,,,,,,,0,11,11,28,,,,,,,,,,,,,,,,,,,,,47.37792089988943,,,,,,,,,,,,,,,,47.344300799886696,47.37792089988943,47.87827180000022,,,,,,,,,,,,,,,,,,,47.87829549994785,47.94428989989683,47.94428989989683,48.527457599993795,i,1,0.5619536000303924,None,48.52824159990996,48.56203889998142,49.551511099911295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_15h04.00.146,IAT(test05),2024.1.4,None,2024-07-05 15h04.23.275378 +0800,
,,机智,e,,,,,,,,,0,12,12,9,,,,,,,,,,,,,,,,,,,,,49.602638299926184,,,,,,,,,,,,,,,,49.55190529988613,49.602638299926184,50.063464999897406,,,,,,,,,,,,,,,,,,,50.063486099941656,50.1069439999992,50.1069439999992,50.35347649990581,e,1,0.24156939995009452,None,50.353831599932164,50.39000469993334,51.37997719994746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_15h04.00.146,IAT(test05),2024.1.4,None,2024-07-05 15h04.23.275378 +0800,
,,聪明,e,,,,,,,,,0,13,13,2,,,,,,,,,,,,,,,,,,,,,51.420289499918,,,,,,,,,,,,,,,,51.380781499901786,51.420289499918,51.91090349992737,,,,,,,,,,,,,,,,,,,51.91094229998998,51.956857599900104,51.956857599900104,52.33738429995719,i,0,0.3507410000311211,None,52.33789419999812,52.38605370000005,53.36625739990268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_15h04.00.146,IAT(test05),2024.1.4,None,2024-07-05 15h04.23.275378 +0800,
,,稳重,e,,,,,,,,,0,14,14,11,,,,,,,,,,,,,,,,,,,,,53.38563079992309,,,,,,,,,,,,,,,,53.36710919998586,53.38563079992309,53.854682299890555,,,,,,,,,,,,,,,,,,,53.85490089992527,53.93263069994282,53.93263069994282,54.55553389992565,e,1,0.5960954999318346,None,54.55594609992113,54.61222689994611,55.5694868999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_15h04.00.146,IAT(test05),2024.1.4,None,2024-07-05 15h04.23.275378 +0800,
,,认真,e,,,,,,,,,0,15,15,10,,,,,,,,,,,,,,,,,,,,,55.61702219990548,,,,,,,,,,,,,,,,55.57034579990432,55.61702219990548,56.05945189995691,,,,,,,,,,,,,,,,,,,56.05947399989236,56.102899299934506,56.102899299934506,56.339570999960415,i,0,0.19267060002312064,None,56.340099299908616,56.38643829990178,57.357076399959624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_15h04.00.146,IAT(test05),2024.1.4,None,2024-07-05 15h04.23.275378 +0800,
,,崇高,e,,,,,,,,,0,16,16,1,,,,,,,,,,,,,,,,,,,,,57.38822869991418,,,,,,,,,,,,,,,,57.35734959994443,57.38822869991418,57.87270059995353,,,,,,,,,,,,,,,,,,,57.87274549994618,57.91214449994732,57.91214449994732,58.039201699895784,e,1,0.11222849995829165,None,58.039649799931794,58.07350819988642,59.06408499996178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_15h04.00.146,IAT(test05),2024.1.4,None,2024-07-05 15h04.23.275378 +0800,
,,下贱,i,,,,,,,,,0,17,17,39,,,,,,,,,,,,,,,,,,,,,59.11111819988582,,,,,,,,,,,,,,,,59.06437449995428,59.11111819988582,59.55693409999367,,,,,,,,,,,,,,,,,,,59.55696049996186,59.593761799973436,59.593761799973436,60.00986789993476,i,1,0.36949660000391304,None,60.010163599974476,60.05713370000012,61.03203379991464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_15h04.00.146,IAT(test05),2024.1.4,None,2024-07-05 15h04.23.275378 +0800,
,,自卑,i,,,,,,,,,0,18,18,26,,,,,,,,,,,,,,,,,,,,,61.071235699928366,,,,,,,,,,,,,,,,61.03231129993219,61.071235699928366,61.55631209991407,,,,,,,,,,,,,,,,,,,61.55634259991348,61.6298003999982,61.6298003999982,62.2028990999097,i,1,0.5485452999128029,None,62.203788599930704,62.24977959995158,63.209626099909656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_15h04.00.146,IAT(test05),2024.1.4,None,2024-07-05 15h04.23.275378 +0800,
,,轻率,i,,,,,,,,,0,19,19,38,,,,,,,,,,,,,,,,,,,,,63.24800459994003,,,,,,,,,,,,,,,,63.21005269989837,63.24800459994003,63.71316939999815,,,,,,,,,,,,,,,,,,,63.71322129992768,63.75005749997217,63.75005749997217,64.43364989990368,i,1,0.6442925001028925,None,64.43417929997668,64.46929619996808,65.46355949994177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-07-05_15h04.00.146,IAT(test05),2024.1.4,None,2024-07-05 15h04.23.275378 +0800,
